date,index_100
2025-01-02,100.0
2025-01-03,99.82285208148805
2025-01-06,100.29524653085326
2025-01-07,99.58665485680542
2025-01-08,99.6457041629761
2025-01-09,99.68999114260409
2025-01-10,98.70091526424565
2025-01-13,98.56805432536167
2025-01-14,98.40566873339239
2025-01-15,99.9261883672867
2025-01-16,100.23619722468263
2025-01-17,101.13669914378507
2025-01-20,100.69382934750517
2025-01-21,100.73811632713314
2025-01-22,101.47623265426633
2025-01-23,101.57956894006497
2025-01-24,101.22527310304103
2025-01-27,99.5571302037201
2025-01-28,100.75287865367584
2025-01-29,101.22527310304103
2025-01-30,101.59433126660761
2025-01-31,102.49483318571009
2025-02-03,101.69766755240627
2025-02-04,101.74195453203426
2025-02-05,101.402421021553
2025-02-06,102.49483318571009
2025-02-07,102.34720992028346
2025-02-10,103.0115146147033
2025-02-11,102.71626808385001
2025-02-12,102.08148804251553
2025-02-13,102.53912016533806
2025-02-14,102.37673457336878
2025-02-17,102.92294065544729
2025-02-18,103.02627694124595
2025-02-19,103.33628579864187
2025-02-20,102.39149689991143
2025-02-21,102.58340714496606
2025-02-24,101.402421021553
2025-02-25,99.955713020372
2025-02-26,101.2843224092117
2025-02-27,101.41718334809569
2025-02-28,100.25095955122526
2025-03-03,100.45763212282255
2025-03-04,97.35754354886332
2025-03-05,96.17655742545027
2025-03-06,96.33894301741955
2025-03-07,94.77413640389727
2025-03-10,94.02125775022144
2025-03-11,92.30882787127253
2025-03-12,93.29790374963095
2025-03-13,92.70741068792442
2025-03-14,93.79982285208149
2025-03-17,94.25745497490406
2025-03-18,93.88839681133749
2025-03-19,94.81842338352526
2025-03-20,95.02509595512255
2025-03-21,94.7593740773546
2025-03-24,96.29465603779157
2025-03-25,96.3979923235902
2025-03-26,95.96988485385299
2025-03-27,95.68940064954236
2025-03-28,93.66696191319754
2025-03-31,93.06170652494833
2025-04-01,94.12459403602008
2025-04-02,93.96220844405079
2025-04-03,89.53351048125185
2025-04-04,85.4738706820195
2025-04-07,83.05284912902275
2025-04-08,85.57720696781813
2025-04-09,81.56185414821377
2025-04-10,84.72099202834367
2025-04-11,84.08621198700916
2025-04-14,86.4334219072926
2025-04-15,87.31916149985238
2025-04-16,86.28579864186598
2025-04-17,85.48863300856215
2025-04-22,84.94242692648362
2025-04-23,87.40773545910837
2025-04-24,88.14585178624151
2025-04-25,88.42633599055212
2025-04-28,88.6772955417774
2025-04-29,89.09064068497197
2025-04-30,89.41541186891054
2025-05-02,91.62976085031002
2025-05-05,91.85119574844995
2025-05-06,91.36403897254209
2025-05-07,90.89164452317686
2025-05-08,92.26454089164453
2025-05-09,92.22025391201655
2025-05-12,95.24653085326248
2025-05-13,95.74844995571303
2025-05-14,95.55653971065841
2025-05-15,95.89607322113966
2025-05-16,96.47180395630352
2025-05-19,96.01417183348097
2025-05-20,96.13227044582227
2025-05-21,95.45320342485975
2025-05-22,94.78889873043993
2025-05-23,93.84410983170949
2025-05-26,94.61175081192798
2025-05-27,95.27605550634782
2025-05-28,95.34986713906113
2025-05-29,94.92175966932389
2025-05-30,94.83318571006791
2025-06-02,94.44936521995866
2025-06-03,95.54177738411575
2025-06-04,95.6451136699144
2025-06-05,95.7189253026277
2025-06-06,96.08798346619429
2025-06-09,96.1617950989076
2025-06-10,96.17655742545027
